"codcli","Cliente","codven","Comercial","Cidade","status","Vendas","Frequencia","Ult_Compra"
"117","Cliente_117","50","Rocha","NAZARE DA MATA - PE - Brasil","E","91599.00","45","2025-02-23"
"35807","Cliente_35807","50","Rocha","OURICURI - PE - Brasil","P","90459.00","29","2025-02-05"
"182739","Cliente_182739","21","Edilson","RECIFE - PE - Brasil","*","90134.00","63","2025-02-28"
"34220","Cliente_34220","50","Rocha","TRINDADE - PE - Brasil","E","89656.00","12","2025-02-26"
"187629","Cliente_187629","35","Geilson","OLINDA - PE - Brasil","*","88945.00","45","2025-02-28"
"29376","Cliente_29376","50","Rocha","TRINDADE - PE - Brasil","A","87412.00","22","2025-02-24"
"33011","Cliente_33011","35","Geilson","GARANHUNS - PE - Brasil","*","86603.00","44","2025-02-28"
"182760","Cliente_182760","35","Geilson","RECIFE - PE - Brasil","*","85171.75","40","2025-02-25"
"182784","Cliente_182784","50","Rocha","TRINDADE - PE - Brasil","*","85047.00","25","2025-02-25"
"30089","Cliente_30089","8","Jonas","RECIFE - PE - Brasil","P","84532.70","218","2025-02-28"
"12822","Cliente_12822","19","Evandro","MORENO - PE - Brasil","*","82009.00","61","2025-02-28"
"40807","Cliente_40807","21","Edilson","BUENOS AIRES - PE - Brasil","E","81420.00","32","2025-02-12"
"186856","Cliente_186856","26","Carlos Augusto","CARUARU - PE - Brasil","*","81286.34","34","2025-02-25"
"41922","Cliente_41922","6","Almir","JUAZEIRO - BA - Brasil","*","79520.80","25","2025-02-25"
"17155","Cliente_17155","50","Rocha","PETROLINA - PE - Brasil","*","78942.00","31","2025-02-28"
"189460","Cliente_189460","23","Valter","CAMUTANGA - PE - Brasil","*","77901.20","49","2025-02-28"
"16812","Cliente_16812","51","Eraldo","SALGUEIRO - PE - Brasil","*","77762.50","40","2025-02-26"
"24059","Cliente_24059","38","Junior","GOIANA - PE - Brasil","E","77299.00","100","2025-02-28"
"187054","Cliente_187054","21","Edilson","BARREIROS - PE - Brasil","*","76956.50","59","2025-02-28"
"270050","Cliente_270050","50","Rocha","NOSSA SENHORA DO SOCORRO - SE - Brasil","E","74715.60","23","2025-02-23"
"270109","Cliente_270109","23","Valter","SAO CRISTOVAO - SE - Brasil","*","74576.46","36","2025-02-28"
"19852","Cliente_19852","21","Edilson","CARUARU - PE - Brasil","A","74288.00","7","2024-12-08"
"28587","Cliente_28587","48","Flavio","PETROLANDIA - PE - Brasil","E","74237.00","18","2025-01-14"
"1820","Cliente_1820","42","Otavio","CAMPINA GRANDE - PB - Brasil","E","73369.00","37","2025-02-28"
"181933","Cliente_181933","21","Edilson","RECIFE - PE - Brasil","*","73056.00","38","2025-02-28"
"186258","Cliente_186258","35","Geilson","RECIFE - PE - Brasil","*","72773.20","24","2025-02-05"
"183321","Cliente_183321","35","Geilson","GARANHUNS - PE - Brasil","*","72586.90","47","2025-02-23"
"6765","Cliente_6765","35","Geilson","RECIFE - PE - Brasil","*","71815.00","80","2025-02-24"
"15558","Cliente_15558","28","Rodrigues","JUPI - PE - Brasil","E","71571.00","16","2025-02-20"
"34411","Cliente_34411","35","Geilson","JABOATAO DOS GUARARAPES - PE - Brasil","P","71509.00","38","2024-11-10"
"1580","Cliente_1580","41","Edson","JABOATAO DOS GUARARAPES - PE - Brasil","*","71182.15","44","2025-02-27"
"270023","Cliente_270023","23","Valter","NOSSA SENHORA DO SOCORRO - SE - Brasil","*","71073.42","16","2025-02-17"
"160321","Cliente_160321","50","Rocha","ARCOVERDE - PE - Brasil","E","70843.00","32","2025-02-28"
"1674","Cliente_1674","48","Flavio","BUENOS AIRES - PE - Brasil","N","68016.00","31","2025-02-18"
"185122","Cliente_185122","26","Carlos Augusto","TIMBAUBA - PE - Brasil","*","67845.05","44","2025-02-26"
"181278","Cliente_181278","23","Valter","ARCOVERDE - PE - Brasil","*","67824.24","31","2025-02-28"
"28636","Cliente_28636","8","Jonas","RIO FORMOSO - PE - Brasil","P","66549.00","34","2024-10-27"
"4639","Cliente_4639","23","Valter","CARUARU - PE - Brasil","E","65586.69","26","2025-02-28"
"14222","Cliente_14222","21","Edilson","GARANHUNS - PE - Brasil","*","65147.60","103","2025-02-28"
"23139","Cliente_23139","48","Flavio","IGARASSU - PE - Brasil","E","65058.00","19","2025-02-22"
"191780","Cliente_191780","35","Geilson","TERESINA - PI - Brasil","*","64357.00","13","2025-02-28"
"25513","Cliente_25513","41","Edson","RECIFE - PE - Brasil","*","63979.00","65","2025-02-26"
"210057","Cliente_210057","23","Valter","PARNAMIRIM - RN - Brasil","E","63259.98","33","2025-02-12"
"185647","Cliente_185647","34","Denny","CARUARU - PE - Brasil","*","62411.91","56","2025-02-27"
"2535","Cliente_2535","25","Gilmar","OROBO - PE - Brasil","*","59968.50","38","2025-02-10"
"184880","Cliente_184880","35","Geilson","CABO DE SANTO AGOSTINHO - PE - Brasil","P","59118.50","77","2025-02-25"
"181098","Cliente_181098","26","Carlos Augusto","CAMARAGIBE - PE - Brasil","*","58979.00","63","2025-02-28"
"210308","Cliente_210308","23","Valter","SAO GONCALO DO AMARANTE - RN - Brasil","*","58116.49","32","2025-02-23"
"35295","Cliente_35295","35","Geilson","JABOATAO DOS GUARARAPES - PE - Brasil","P","57871.00","27","2024-11-28"
"42690","Cliente_42690","28","Rodrigues","RECIFE - PE - Brasil","E","57751.00","45","2025-02-09"
"8526","Cliente_8526","51","Eraldo","JABOATAO DOS GUARARAPES - PE - Brasil","A","57184.00","31","2025-01-22"
"1271","Cliente_1271","38","Junior","RECIFE - PE - Brasil","E","57112.00","25","2025-02-19"
"3016","Cliente_3016","38","Junior","IPUBI - PE - Brasil","P","56905.00","17","2024-10-09"
"41327","Cliente_41327","38","Junior","GURINHEM - PB - Brasil","E","55885.17","16","2025-02-28"
"185852","Cliente_185852","50","Rocha","IPUBI - PE - Brasil","E","55004.00","8","2025-02-28"
"39241","Cliente_39241","38","Junior","CABO DE SANTO AGOSTINHO - PE - Brasil","E","54558.00","6","2025-01-06"
"37554","Cliente_37554","8","Jonas","SAO JOSE DA COROA GRANDE - PE - Brasil","E","54404.00","18","2025-02-26"
"29565","Cliente_29565","23","Valter","BELO JARDIM - PE - Brasil","*","54098.76","56","2025-02-28"
"163795","Cliente_163795","35","Geilson","SANTA RITA - PB - Brasil","*","53490.48","52","2025-02-28"
"42909","Cliente_42909","16","Adelmo","PAUDALHO - PE - Brasil","*","53351.00","20","2025-02-28"
"182671","Cliente_182671","34","Denny","JABOATAO DOS GUARARAPES - PE - Brasil","E","53079.00","14","2025-02-20"
"27523","Cliente_27523","48","Flavio","IPOJUCA - PE - Brasil","E","53075.00","47","2025-02-18"
"180044","Cliente_180044","23","Valter","ARCOVERDE - PE - Brasil","*","51720.80","40","2025-02-24"
"44713","Cliente_44713","50","Rocha","TRINDADE - PE - Brasil","P","51490.00","6","2024-11-22"
"29442","Cliente_29442","23","Valter","ARAPIRACA - AL - Brasil","*","50477.50","15","2025-02-28"
"182826","Cliente_182826","26","Carlos Augusto","CARUARU - PE - Brasil","E","50428.00","11","2025-02-22"
"7841","Cliente_7841","25","Gilmar","RECIFE - PE - Brasil","E","50051.17","52","2025-02-25"
"24522","Cliente_24522","34","Denny","RECIFE - PE - Brasil","A","49957.00","3","2025-02-26"
"39543","Cliente_39543","48","Flavio","IPUBI - PE - Brasil","P","48866.00","26","2025-02-08"
"44150","Cliente_44150","19","Evandro","CARUARU - PE - Brasil","E","48866.00","19","2025-02-28"
"44032","Cliente_44032","41","Edson","RECIFE - PE - Brasil","I","48684.00","8","2024-08-04"
"29071","Cliente_29071","23","Valter","PEDRAS DE FOGO - PB - Brasil","*","48464.72","29","2025-02-28"
"23006","Cliente_23006","41","Edson","MORENO - PE - Brasil","E","48007.00","18","2025-02-13"
"12560","Cliente_12560","48","Flavio","RECIFE - PE - Brasil","A","47790.00","7","2025-02-15"
"36482","Cliente_36482","19","Evandro","GARANHUNS - PE - Brasil","A","47336.00","9","2025-02-23"
"12969","Cliente_12969","19","Evandro","TUPANATINGA - PE - Brasil","P","45931.00","15","2025-02-26"
"39310","Cliente_39310","35","Geilson","RECIFE - PE - Brasil","P","45691.00","51","2025-02-23"
"187617","Cliente_187617","35","Geilson","RECIFE - PE - Brasil","*","45542.00","7","2025-02-28"
"36376","Cliente_36376","26","Carlos Augusto","CARUARU - PE - Brasil","*","45514.49","38","2025-02-28"
"15187","Cliente_15187","48","Flavio","CAMARAGIBE - PE - Brasil","*","45415.00","11","2024-12-16"
"30357","Cliente_30357","6","Almir","SAO LUIS - MA - Brasil","*","44986.32","18","2025-02-24"
"10115","Cliente_10115","21","Edilson","JABOATAO DOS GUARARAPES - PE - Brasil","E","44825.00","12","2025-02-03"
"183211","Cliente_183211","28","Rodrigues","JABOATAO DOS GUARARAPES - PE - Brasil","A","44631.50","38","2025-02-27"
"27360","Cliente_27360","48","Flavio","JABOATAO DOS GUARARAPES - PE - Brasil","E","44440.40","18","2025-02-13"
"4516","Cliente_4516","25","Gilmar","RECIFE - PE - Brasil","A","44297.00","125","2025-02-28"
"24478","Cliente_24478","48","Flavio","RECIFE - PE - Brasil","A","44197.50","5","2025-01-19"
"185150","Cliente_185150","50","Rocha","PETROLINA - PE - Brasil","P","44078.00","17","2025-01-05"
"14975","Cliente_14975","28","Rodrigues","SAO BENTO DO UNA - PE - Brasil","E","43992.00","7","2025-02-05"
"18684","Cliente_18684","38","Junior","JABOATAO DOS GUARARAPES - PE - Brasil","E","43638.00","21","2025-02-28"
"14350","Cliente_14350","41","Edson","ARACOIABA - PE - Brasil","E","43331.00","30","2025-02-25"
"160141","Cliente_160141","41","Edson","PATOS - PB - Brasil","E","43241.26","4","2025-02-12"
"43306","Cliente_43306","50","Rocha","ITAMBE - PE - Brasil","*","42830.00","10","2025-02-16"
"32569","Cliente_32569","3","AdelmoAS","GUARULHOS - SP - Brasil","P","42824.07","10","2024-07-26"
"5748","Cliente_5748","25","Gilmar","OLINDA - PE - Brasil","*","42721.00","41","2025-02-25"
"22319","Cliente_22319","35","Geilson","GARANHUNS - PE - Brasil","*","42309.00","11","2025-01-19"
"38576","Cliente_38576","38","Junior","PETROLINA - PE - Brasil","E","42100.00","22","2025-02-25"
"33567","Cliente_33567","35","Geilson","RECIFE - PE - Brasil","*","42025.20","31","2025-02-28"
"184272","Cliente_184272","38","Junior","JABOATAO DOS GUARARAPES - PE - Brasil","A","41888.00","9","2024-10-10"
"15049","Cliente_15049","41","Edson","RECIFE - PE - Brasil","E","41810.50","173","2025-02-28"
"15486","Cliente_15486","19","Evandro","RECIFE - PE - Brasil","*","41610.00","37","2025-01-19"
"44599","Cliente_44599","50","Rocha","RECIFE - PE - Brasil","*","41584.00","10","2025-02-26"
"24318","Cliente_24318","50","Rocha","PETROLINA - PE - Brasil","E","41433.00","14","2025-02-16"
"13816","Cliente_13816","25","Gilmar","OLINDA - PE - Brasil","E","41222.00","19","2025-02-26"
"189550","Cliente_189550","35","Geilson","LAGOA DO ITAENGA - PE - Brasil","*","40856.00","27","2025-02-28"
"185878","Cliente_185878","41","Edson","VITORIA DE SANTO ANTAO - PE - Brasil","*","40631.00","20","2025-01-22"
"184334","Cliente_184334","51","Eraldo","SERRA TALHADA - PE - Brasil","E","40552.00","11","2025-02-23"
"32264","Cliente_32264","23","Valter","BAYEUX - PB - Brasil","A","40475.18","35","2025-02-28"
"42747","Cliente_42747","19","Evandro","SAO JOSE DA COROA GRANDE - PE - Brasil","E","40274.00","26","2025-02-26"
"22839","Cliente_22839","48","Flavio","JABOATAO DOS GUARARAPES - PE - Brasil","P","40248.52","25","2025-02-17"
"19071","Cliente_19071","50","Rocha","CAAPORA - PB - Brasil","E","40225.13","10","2025-02-16"
"41973","Cliente_41973","50","Rocha","BOM CONSELHO - PE - Brasil","E","40139.00","7","2025-02-18"
"25665","Cliente_25665","48","Flavio","POMBOS - PE - Brasil","A","39944.00","3","2024-10-24"
"184991","Cliente_184991","50","Rocha","OURICURI - PE - Brasil","E","39919.00","5","2025-02-12"
"25046","Cliente_25046","34","Denny","RECIFE - PE - Brasil","A","39655.00","2","2024-12-08"
"45804","Cliente_45804","38","Junior","RECIFE - PE - Brasil","A","39413.00","1","2024-11-28"
"181168","Cliente_181168","25","Gilmar","RECIFE - PE - Brasil","E","39390.50","50","2025-02-23"
"25379","Cliente_25379","48","Flavio","BUIQUE - PE - Brasil","*","39255.00","10","2025-02-17"
"182576","Cliente_182576","41","Edson","CARUARU - PE - Brasil","*","39179.00","14","2025-02-28"
"185729","Cliente_185729","38","Junior","RECIFE - PE - Brasil","A","39040.00","15","2025-02-23"
"21244","Cliente_21244","41","Edson","JABOATAO DOS GUARARAPES - PE - Brasil","*","38782.00","23","2025-02-28"
"37984","Cliente_37984","34","Denny","JABOATAO DOS GUARARAPES - PE - Brasil","A","38750.00","24","2025-02-24"
"6014","Cliente_6014","28","Rodrigues","RECIFE - PE - Brasil","A","38690.50","20","2025-02-28"
"40621","Cliente_40621","34","Denny","SERRA TALHADA - PE - Brasil","E","37935.00","7","2024-10-23"
"5931","Cliente_5931","50","Rocha","ALIANCA - PE - Brasil","A","37649.00","5","2025-02-10"
"182160","Cliente_182160","23","Valter","PETROLINA - PE - Brasil","*","37533.60","40","2025-02-28"
"184687","Cliente_184687","3","AdelmoAS","JABOATAO DOS GUARARAPES - PE - Brasil","*","37430.36","9","2025-02-28"
"160061","Cliente_160061","50","Rocha","CAMPINA GRANDE - PB - Brasil","A","37423.38","16","2025-02-25"
"21049","Cliente_21049","41","Edson","JABOATAO DOS GUARARAPES - PE - Brasil","A","37378.00","58","2025-02-28"
"183291","Cliente_183291","41","Edson","VERTENTE DO LERIO - PE - Brasil","E","36998.60","17","2025-02-24"
"5872","Cliente_5872","23","Valter","PETROLINA - PE - Brasil","*","36865.00","24","2025-02-03"
"20083","Cliente_20083","23","Valter","MACEIO - AL - Brasil","*","36719.86","18","2025-02-17"
"10267","Cliente_10267","50","Rocha","GARANHUNS - PE - Brasil","A","36559.00","5","2025-02-28"
"43082","Cliente_43082","34","Denny","TAMANDARE - PE - Brasil","A","36403.00","16","2025-01-29"
"184851","Cliente_184851","26","Carlos Augusto","PESQUEIRA - PE - Brasil","*","36354.00","27","2025-02-25"
"61901","Cliente_61901","32","Euclides","FORTALEZA - CE - Brasil","P","36206.00","33","2025-02-28"
"161890","Cliente_161890","23","Valter","ESPERANCA - PB - Brasil","*","36153.66","30","2025-02-28"
"190123","Cliente_190123","35","Geilson","TERESINA - PI - Brasil","*","36103.40","7","2025-02-22"
"160346","Cliente_160346","51","Eraldo","BOA VISTA - PB - Brasil","E","36050.43","12","2025-01-27"
"32969","Cliente_32969","19","Evandro","SURUBIM - PE - Brasil","A","35941.00","20","2025-02-16"
"14498","Cliente_14498","21","Edilson","BARREIROS - PE - Brasil","*","35807.40","32","2025-02-28"
"9882","Cliente_9882","48","Flavio","OLINDA - PE - Brasil","A","35748.00","9","2025-01-18"
"46024","Cliente_46024","38","Junior","JOAO PESSOA - PB - Brasil","A","35705.00","3","2025-01-06"
"27137","Cliente_27137","35","Geilson","NATAL - RN - Brasil","*","35700.00","26","2025-02-26"
"40300","Cliente_40300","25","Gilmar","TIMBAUBA - PE - Brasil","E","35675.00","12","2025-02-23"
"40966","Cliente_40966","38","Junior","IGARASSU - PE - Brasil","E","35615.00","12","2025-02-19"
"43020","Cliente_43020","19","Evandro","SURUBIM - PE - Brasil","A","35610.00","3","2024-12-01"
"18823","Cliente_18823","50","Rocha","PEDRA LAVRADA - PB - Brasil","*","35420.86","8","2025-02-22"
"3952","Cliente_3952","28","Rodrigues","SAO JOSE DA COROA GRANDE - PE - Brasil","A","35247.00","53","2025-02-28"
"26825","Cliente_26825","35","Geilson","MACEIO - AL - Brasil","*","34817.67","44","2025-02-19"
"44158","Cliente_44158","8","Jonas","SERRA TALHADA - PE - Brasil","A","34623.00","4","2024-12-11"
"35821","Cliente_35821","19","Evandro","PAULISTA - PE - Brasil","P","34368.00","41","2025-02-15"
"29118","Cliente_29118","38","Junior","TRINDADE - PE - Brasil","I","34300.00","1","2024-07-05"
"181446","Cliente_181446","23","Valter","RECIFE - PE - Brasil","E","33883.60","30","2025-02-26"
"150009","Cliente_150009","32","Euclides","BELEM - PA - Brasil","*","33770.00","5","2024-10-24"
"25100","Cliente_25100","50","Rocha","RECIFE - PE - Brasil","A","33642.00","5","2025-01-05"
"46708","Cliente_46708","50","Rocha","OURICURI - PE - Brasil","E","33581.00","1","2025-02-23"
"45402","Cliente_45402","50","Rocha","RECIFE - PE - Brasil","A","33560.00","1","2024-10-21"
"9906","Cliente_9906","50","Rocha","ALAGOINHA - PB - Brasil","E","33439.00","3","2024-12-28"
"1480","Cliente_1480","48","Flavio","CARPINA - PE - Brasil","E","33244.00","20","2025-02-25"
"29282","Cliente_29282","8","Jonas","IPOJUCA - PE - Brasil","A","33184.00","4","2024-09-13"
"32694","Cliente_32694","50","Rocha","CAMPINA GRANDE - PB - Brasil","A","33059.11","11","2025-02-28"
"10144","Cliente_10144","34","Denny","CABO DE SANTO AGOSTINHO - PE - Brasil","*","32980.00","16","2025-02-04"
"186467","Cliente_186467","26","Carlos Augusto","JABOATAO DOS GUARARAPES - PE - Brasil","*","32952.00","18","2025-02-22"
"28043","Cliente_28043","23","Valter","CAMPINA GRANDE - PB - Brasil","E","32909.88","26","2025-02-28"
"25741","Cliente_25741","16","Adelmo","GARANHUNS - PE - Brasil","P","32846.00","7","2025-01-20"
"185758","Cliente_185758","26","Carlos Augusto","JABOATAO DOS GUARARAPES - PE - Brasil","*","32604.00","13","2025-02-05"
"29330","Cliente_29330","26","Carlos Augusto","JOAO PESSOA - PB - Brasil","*","32600.66","16","2025-02-28"
"3383","Cliente_3383","51","Eraldo","OLINDA - PE - Brasil","A","32593.00","7","2025-02-06"
"21526","Cliente_21526","38","Junior","RECIFE - PE - Brasil","A","32525.00","7","2025-01-01"
"260070","Cliente_260070","3","AdelmoAS","VALINHOS - SP - Brasil","*","32485.63","3","2025-02-28"
"10386","Cliente_10386","41","Edson","JABOATAO DOS GUARARAPES - PE - Brasil","A","32370.00","40","2025-02-11"
"17517","Cliente_17517","41","Edson","PAULISTA - PE - Brasil","P","32141.00","14","2025-02-15"
"158650","Cliente_158650","32","Euclides","BELEM - PA - Brasil","*","31997.00","17","2025-02-26"
"2425","Cliente_2425","41","Edson","RECIFE - PE - Brasil","E","31950.50","29","2025-02-23"
"7221","Cliente_7221","41","Edson","JABOATAO DOS GUARARAPES - PE - Brasil","A","31910.00","40","2025-02-28"
"23428","Cliente_23428","51","Eraldo","AFOGADOS DA INGAZEIRA - PE - Brasil","E","31842.00","8","2025-01-25"
"10334","Cliente_10334","8","Jonas","IGARASSU - PE - Brasil","P","31810.00","9","2025-01-03"
"30061","Cliente_30061","34","Denny","RECIFE - PE - Brasil","E","31806.00","5","2025-01-01"
"184768","Cliente_184768","48","Flavio","RECIFE - PE - Brasil","*","31745.00","15","2025-02-28"
"40048","Cliente_40048","50","Rocha","VITORIA DE SANTO ANTAO - PE - Brasil","A","31655.00","6","2025-01-05"
"184353","Cliente_184353","26","Carlos Augusto","RECIFE - PE - Brasil","*","31561.76","61","2025-02-28"
"17562","Cliente_17562","41","Edson","RECIFE - PE - Brasil","A","31300.00","23","2025-02-26"
"23391","Cliente_23391","23","Valter","ARCOVERDE - PE - Brasil","E","31047.40","14","2025-02-26"
"19935","Cliente_19935","42","Otavio","ESCADA - PE - Brasil","E","30881.00","7","2025-02-22"
"40296","Cliente_40296","50","Rocha","SALGUEIRO - PE - Brasil","A","30728.00","8","2025-02-28"
"184273","Cliente_184273","19","Evandro","RECIFE - PE - Brasil","*","30521.00","19","2025-02-28"
"4923","Cliente_4923","23","Valter","CARUARU - PE - Brasil","A","30492.50","22","2025-02-28"
"3297","Cliente_3297","23","Valter","BELO JARDIM - PE - Brasil","*","30478.12","17","2025-02-25"
"185579","Cliente_185579","34","Denny","JABOATAO DOS GUARARAPES - PE - Brasil","E","30386.00","32","2025-02-28"
"158550","Cliente_158550","32","Euclides","BELEM - PA - Brasil","*","30361.00","21","2025-02-24"
"183425","Cliente_183425","28","Rodrigues","OLINDA - PE - Brasil","*","30307.00","14","2025-02-24"
"34581","Cliente_34581","8","Jonas","SALGUEIRO - PE - Brasil","A","30128.00","1","2024-12-03"
"30765","Cliente_30765","48","Flavio","CARUARU - PE - Brasil","E","30068.00","8","2025-02-24"
"10705","Cliente_10705","25","Gilmar","IGARASSU - PE - Brasil","A","30058.00","29","2025-02-25"
"24898","Cliente_24898","8","Jonas","CABO DE SANTO AGOSTINHO - PE - Brasil","E","29188.00","8","2025-01-22"
"12964","Cliente_12964","51","Eraldo","PAULISTA - PE - Brasil","A","29185.00","8","2025-01-25"
"185329","Cliente_185329","50","Rocha","GARANHUNS - PE - Brasil","E","29120.00","8","2025-02-28"
"19889","Cliente_19889","25","Gilmar","MAMANGUAPE - PB - Brasil","P","29064.67","29","2025-02-26"
"181568","Cliente_181568","23","Valter","JABOATAO DOS GUARARAPES - PE - Brasil","E","28982.02","62","2025-02-28"
"29149","Cliente_29149","34","Denny","RECIFE - PE - Brasil","A","28600.00","1","2025-01-03"
"182552","Cliente_182552","51","Eraldo","TABIRA - PE - Brasil","*","28578.00","29","2025-02-28"
"38196","Cliente_38196","35","Geilson","GRAVATA - PE - Brasil","E","28454.00","17","2025-02-19"
"23521","Cliente_23521","41","Edson","TABIRA - PE - Brasil","P","28306.00","16","2025-02-15"
"39090","Cliente_39090","16","Adelmo","PAULISTANA - PI - Brasil","E","28257.00","11","2025-01-20"
"44198","Cliente_44198","41","Edson","RECIFE - PE - Brasil","A","28110.00","2","2024-12-10"
"41860","Cliente_41860","48","Flavio","JABOATAO DOS GUARARAPES - PE - Brasil","E","28049.00","11","2025-02-22"
"2274","Cliente_2274","50","Rocha","CAMPINA GRANDE - PB - Brasil","E","27899.96","17","2025-02-28"
"1397","Cliente_1397","16","Adelmo","CABO DE SANTO AGOSTINHO - PE - Brasil","E","27885.00","28","2025-02-28"
"7545","Cliente_7545","41","Edson","MIRANDIBA - PE - Brasil","*","27853.00","4","2024-11-23"
"1825","Cliente_1825","26","Carlos Augusto","VITORIA DE SANTO ANTAO - PE - Brasil","*","27654.00","10","2025-02-18"
"27478","Cliente_27478","38","Junior","RECIFE - PE - Brasil","A","27585.00","3","2025-02-22"
"43762","Cliente_43762","25","Gilmar","RECIFE - PE - Brasil","P","27542.50","37","2025-02-28"
"44677","Cliente_44677","21","Edilson","RECIFE - PE - Brasil","*","27514.00","7","2024-09-07"
"11357","Cliente_11357","41","Edson","JABOATAO DOS GUARARAPES - PE - Brasil","A","27490.00","4","2025-02-03"
"43094","Cliente_43094","50","Rocha","PETROLINA - PE - Brasil","A","27213.00","10","2025-02-24"
"189716","Cliente_189716","23","Valter","CARUARU - PE - Brasil","*","27047.50","20","2025-02-08"
"30378","Cliente_30378","35","Geilson","GARANHUNS - PE - Brasil","N","27009.00","17","2025-02-03"
"45919","Cliente_45919","50","Rocha","PETROLINA - PE - Brasil","A","27000.00","1","2024-12-09"
"27285","Cliente_27285","41","Edson","PARELHAS - RN - Brasil","E","26995.00","8","2025-02-23"
"189620","Cliente_189620","26","Carlos Augusto","PRIMAVERA - PE - Brasil","*","26502.00","20","2025-01-06"
