Review_ID,Rating,Year_Month,Reviewer_Location,Review_Text,Branch
134248942,4,missing,Australia,"I love Disneyland been to Tokyo for the day and Anaheim three times (about ten days total) so given we had some time to kill between flights and we'd already mastered the MTR we thought we'd give HKG Disney a try.Getting there on the MRT was a piece of cake airport express to Tsing Yi then swap to Tung Chung line to Sunny Bay which is where the Disney train will pick you up. Despite needing to change lines it is really easy for English speaking people; simple touch screens but just be sure you have cash or coins as some machines are specific. The Disney train is so cool it has mickey shaped windows, Mickey grab holds from the roof, really, really plush seating and golden Mickey ornaments on display through the cabins Okay so it cost us $299HKG per adult to get in (about $50 AUS US) and were there for three hours but hey it's Disneyland!!!No Indiana Jones, no haunted mansion, no splash mountain, no big thunder rail way and no Matterhorn but they do have space mountain and the very cool RC ride in Toystory land the jungle cruise was as corny as usual if a little on the fast side.Plenty of kettle corn, yum, and other Disney delicacies Main street looks the same but smaller than Anaheim and maybe less spectacular than Tokyo.Would I go back to this park? Probably not but I would recommend it to those with littlies who are experiencing their first Disney park. still the happiest place on earth and still a magic kingdom but easily do able in a day with young kids in tow. Not really enough heart stoppers for those with teenage kids.The fireworks were Disney magic, plenty of wow and still brought a tear to my eye.",Disneyland_HongKong
134246232,4,2012-4,India,"We were there in April this year and it was a fabulous, almost magical experience. While I have visited Disneyland in California, I found the size of this park far more manageable as we were travelling with 2 small children   5 years and 4 years old. In line with the Disney culture the park is very well run, shows start bang on time, the place is super clean and great fun. The accessibility to the characters owing to the short lines   queues ( we were able to take pictures with almost all of them   Mickey, Minnie, Goofy, Pluto, Winnie and Princess Aurora) made it a pleasurable experience for the kids who were totally bowled over.I would strongly recommend the following attractions for kids of our age (3 6):1.Mickey's Philhar Magic   the kids could not stop laughing   they saw it back to back twice2.Winnie's trip   it was very well done3.Its a small world after all   loved seeing dolls from across the globe and the kids were awe struck4.The Lion King show   we were all spell bound5.Tarzan's Tree house   super quaint and sweet6.The Flights of Fantasy Parade   you get to see all the Disney characters in one place   its a must see but make sure you reach the area a half hour before to get a vantage view7. The Fireworks   settle in after a long tiring day to wind down with this fantastic displaySome tips:(a) Weekdays are a great time to visit   we went over a Thursday, Friday and managed to do almost all on Thursday because it was not crowded at all(b) wherever available use the Fast Pass system which lets you walk around and come back to the show at the given time (its currently free of cost) (c) For Indian Vegetarian travellers   The Tahitian Terrace serves an Indian Veg Thali in 2 slightly modified avatars and that is great value for money and manna from heaven for 'souls starved for dal chaval ",Disneyland_HongKong
134176489,4,missing,Singapore,We went there in the sunday afternoon assuming it would be crowded. We took a cab from wan chai and it cost us 200hkd. For every tunnel they pass the charge you 20hkd and toll is 50hkd. Not crowded as we would expect. 12pm we were greeted by a parade and that was the most exciting part. Everthing else is the same like any disney if you've been to one. But what makes Hong Kong Disneyland different is the sun!! Haha it was unbearable!! The crowds starts coming in around 5pm when the sun is almost down. ,Disneyland_HongKong
134161750,4,2012-7,Indonesia,"Went there with my 7 and 3 yo; played most all attraction for kids; recommended is Winnie Storybook Adventure, Golden Mickey, 3D Philhar Magic, Mickey Wet Parade and the fireworks. The disappointment is Utopia, not the same as describe in the brochure. Prepare umbrella hat cause it's very hot at this moment and also be patience to queue especially for the above attractions.",Disneyland_HongKong
134156212,3,missing,United Kingdom,"Fun great little Disney metro train to the park nice entrance in. Usual 'lands'. Hard to find your way around, seemed to be a few dead ends.  Hardly any rides at all. Smaller and less impressive than disneyland Paris and obviously Florida!  Didn't deal with...More",Disneyland_HongKong
134015728,4,2012-7,South Africa,"Very clean, lines were not too bad (overcast day). Food was much more edible than in Disney Orlando.",Disneyland_HongKong
134003294,4,2012-7,Indonesia,"The entrance ticket costs HKD 399, advisable to purchase it at your hotel   elsewhere before hand because of the long queue on the counter spot. I love Disneyland Hongkong! We went there by MTR, it is advisable for your to purchase 1 day MTR ticket that costs HKD 50,  for you to ride the MTR freely all day, since the travelling to and fro Disneyland will cost you more than HKD 50, . :) We were focusing on the show rather than the rides, loves the Mickey awards show, Lion King show, the shopping (most clothes were on sale during that time XD). MUST : see the parade, all the princess was so fairy beautiful (around 4 5 pm), see the fireworks (at 8 pm). The food at the Royal Banquet was awful, the food at the cafe (unable to recall the name) on US Main street, near entrance, was good. :9 VERY RECOMMENDED. :D",Disneyland_HongKong
133981184,3,2012-7,United States,"Park was clean and small but people there was awful   cut the line like crazy, don't even know if they know how to stay on the line, people were behave bad  make hot weather feels worthSmoking everywhere Just my opinion, Chinese are not ready for DisneyWill not go back and will not recommend",Disneyland_HongKong
133959267,3,2011-8,Indonesia,I had my time went to Disneyland in Anneheim. Eventhough it was more than 10 years ago.. but seems Disneyland Anneheim is more attractive than Hongkong Disneyland. I also expect there will be more good play for the adults. Anyway this place is good just for walking around and spend about half day.. is more than enough,Disneyland_HongKong
133935761,4,missing,Canada,"Hong Kong Disneyland was about the right size for our children of 11 and 6.   We visited in the summer so it was sunny and very hot (advice: bring an umbrella to privide some shade for yourself).   Given this and from a size perspective, we were able to see most of the park, went on a few rides and took some photos with a few characters waiting in line in the heat and saw the Parade and Stitch Encounter show.   We were not able to stay for the evening fireworks but perhaps next time.",Disneyland_HongKong
133845903,4,2012-7,Philippines,"A must see attraction on your first trip to Hong Kong.To make sure it's sweet and short, here are tips for you:  1 whole day is definitely enough to explore the magical place     Make sure it's a sunny day on your visit as I've been told parades are canceled when it's pouring.  Yes, it's a sunny day which means an umbrella should be brought for the walks from one magical ride to another.  As soon as you enter the area, get a map and plan your route as you don't want to miss meeting all those wonderful Disney characters during parades. There are 2 parades: 12nn HKT and 4pm HKT.  Fireworks display starts at 9PM HKT. Make sure you get a good spot in front as besides the fireworks, they also have a slideshow projected on the walls of Sleeping Beauty's castle which you won't see if you're at the back.  Food is expensive (At least for me, after converting price to local currency   PHP, I wanted to eat even the plate) ! They have 2 food courts which offer different cuisines. Asian (noodles and rice meals) and American ( fried chicken and burgers). They have food stands too which offer ice creams, pop corns, hotdogs, etc. The two piece fried chicken with rice and coke I ate for lunch costs 88HKD if I remember it right. Price range of meals are from 70HKD 100HKD. Food portion is good for 1 regular person with regular appetite. Haha! They do not serve hot sauce, only sweet chili sauce.  Food cannot be brought in so if you are on a budget you can save by buying 1 big bottle of water drink inside then keep the bottle as there are water fountains in the area. One can be found near Buzz Lightyear's area   before you enter the restrooms. One bottle of 12ml of orange juice costs 26HKD, but it really tasted good.  Hated the It's a Small World attraction. It's just 10 20 minutes but I don't see anything Disney about it. It's just all dolls, some of which, creeped me out. Looked like a ride from a very rusty carnival ride. Not a loss if you skip this, but if you have time and you wanted to rest, go ahead.It is, indeed, one of the happiest places on earth. Missing a visit to Hong Kong Disneyland is definitely a No No!",Disneyland_HongKong
133822232,5,2012-6,Australia,"I went to Disneyland with my parents and my daughter. We went to Disneyland with a thought firmly in our mind   this will be so much fun for Grace, my 4 year old. We left feeling like it was one of the most fun days we'd all had...ever. From the moment you board the train to disney station with it's mickey mouse shaped windows, to the moment you see the castle, you honestly can feel the magic, maybe it's just the excitement radiating from the kids, but it feels like magic. The lines for the rides weren't more than 10 minutes, which was bearable, the staff were lovely, the rides fun...but the absolute highlight was the parade in the afternoon. For what felt about half an hour, though I really have no idea of time, dancers and Disney characters on floats entertained everyone..adults and children alike. In terms of rides....do NOT take your 4 year old on space mountain...she didn't cry, but I felt like her poor little neck would snap with each corner, but DO wait in the slightly longer line for the river cruise...very fun. Having never been to any of the other Disneylands, I can't compare...I imagine hong kong's version is a lot smaller....but I loved it. We spent a full day there and still could have done more. We'll be back to do the rest another time!! So cheap too...only about $45 Australian for an adult when we went...couldn't believe it!",Disneyland_HongKong
133756275,4,2012-6,Australia,"After two visits to magic kingdom, my partner and i couldnt say no to a visit to Disneyland when we holidayed in Hong Kong. While it is nowhere near as good as the park in Orlando it is still very good. The fireworks show in true disney style was amazing and the new Toy Story land is awesome RC racer is now one of my favourite Disney rides! But it could use a splash mountain as it was very hot the day we went",Disneyland_HongKong
133733968,5,2011-11,Philippines,"Should I go back to Hong Kong, I'll spare a day to this magical place again. The music, the mascots, the parade, the foods, the fun rides, the train, the castle, the amazing fire works, the happy people, everyone brings our the child in them unafraid. Like it's back to the golden age :)",Disneyland_HongKong
133668239,5,missing,Hong Kong,"I am a Hongkonger and an international traveller. Heard from a number of local friends that HK Disneyland is, by comparision with those in other countries, far too small; thus is not as interesting and fun. That's why I only went there the 1st time recently ~ I totally enjoyed the whole day trip! Great Fun! 1) It offers all Disneyland fun activities in a nicely renovated and clean park. Why complain that it is small, as everyone knows that HK is small and almost anywhere is small ~ restaurants, shops etc. ? To look at it from another angle, you don't have to walk a long distance for another fun activity. It is fun after fun!2) Remember to arrive at 10:30 am to avoid the queue.3) If going with only adults, go with those who are joyful and has a heart of a child.Cheers!",Disneyland_HongKong
133562123,5,2011-8,United States,"By far, a great experience! The price is right, and if you are planning on going as a family more than once, buy the year pass, the expense was worth it   we are a family of 4, and by the second trip to HK Disneyland, the passes had already paid for themselves! The attractions are great; the Lion King show is incredible; the parades and fireworks were wonderful; and the food is good and VERY inexpensive. We have been to Disney World in Florida, USA, and it is SO busy and expensive. But Hong Kong Disneyland is not! If you go on a weekday, lines are short. My kids were 5 and 2 when we went, and they both loved it. Perfect size park for their ages. We got to see everything, every time we went, so we felt like we were really getting our money's worth. There are so many special things going on at the park, we went often because they really changed things up. For every holiday, especially the American ones and Chinese New Year, there was always something new and fun to experience! We have since moved back to the USA, but if we are ever in HK again, we will be going to Disneyland!",Disneyland_HongKong
133560460,4,missing,China,"My daughter loved it. She was four then. Now she is 6 and she should be taking all the fun and myth better. Really look forward to go to Disney land with her again. The Disney hotel was fabulous. We like the room, the bath, and breakfast most. It was very exciting to meet Disney characters at breakfast in the hotel, though she was a bit afraid of Goofi. Her favorite was Mini, but the Mini in Disney Land was too like a star and cut short the photo session which she qued for a long time. She was very disappointed. Maybe we can get closer to Mini next visit.",Disneyland_HongKong
133554192,5,2012-6,Australia,Loved that it was so easy to get to via the MTR. As with anything of this nature  get there nice and early to beat the crowds. Make sure to take an umbrella with you if it is sunny as there's not alot of shady spots and it gets pretty hot out there! Great day out for the family!,Disneyland_HongKong
292146688,3,2014-11,United States,It is Disneyland! All the glitz and enchantment you could imagine... but expect to pay a lot of money. It is a small investment to take a family!,Disneyland_California
292126590,5,2015-6,United States,"Each time I go to Disneyland I love it more. It's great for young and old. The food is great, too. IF you have a little one make sure you spend a lot of time in Fantasyland.",Disneyland_California
292123728,5,2015-7,United States,We had a great time at Disneyland....we did the one park per day & it was so much fun! We planned out the rides so we didn't waste too much time waiting in lines...,Disneyland_California
292115302,4,2015-7,United States,"I have been to Disneyland plenty of times before. Loved it every time. We normally do not go in the summer because of how busy it is. We happened to be in the area this last week and couldn't pass up trying Disneyland for the first time with our 16 month old daughter. Renting a stroller was easy and a very good idea. We ended up being there for ten hours, day was awesome, it was so fun to see Disneyland in a different way, watching our daughter experience it and take it slow. Can't wait for next time. Tip: WHOLE MILK, I was able to get that at the Starbucks on main street. Everywhere else sold 2%",Disneyland_California
292105423,5,2015-7,United States,"Disneyland is a great place for families and fun. And you can get to California early by going through the California Hotel and that drops you right near where you can get your night time show tickets. The only slow part of visiting Disneyland is having to have bags, purses, strollers, etc., checked. I wish there was a line for entering the park without anything but the clothes on your back. It would allow others to enter without having to wait in line for items to be checked. As always staff is friendly and very helpful and knowledgeable about the park. You can ask the Disney staff anything and they seem to know where or what you need to make your stay enjoyable.",Disneyland_California
292101444,5,2015-7,United States,"We went for our 30th anniversary and went on our honeymoon as well, so many fun things to do. Disneyland was great, so many memories.",Disneyland_California
292068942,5,2015-7,United States,"What more is there to say? Disneyland, you know it, you love it. Every land has a plethora of things to do and places to explore. The theming throughout is spectacular. Some of the restaurants are the best I've even been to, though that's another review entirely. Let's name a few of this place's best and most popular rides: The Jungle Cruise, The Haunted Mansion, Pirates of the Caribbean, Splash Mountain, Big Thunder Mountain Railroad, Buzz Lightyear's Astro Blasters, Star Tours, Space Mountain, and the Matterhorn Bobsleds. Any one of these would be a 4 or 5 star attraction on its own, but when you put them all together and add in all the other rides, shows (especially Fantasmic!), restaurants(specifically the high quality sit down ones like Blue Bayou or Cafe Orleans), shops (I highly reccomend the Art of Disney Parks shop on Main Street), and the overall atmosphere, you truly have something to be treasured. Like anyone who's been there (anyone who's at least somewhat sane, that is) I wish I was back even know.",Disneyland_California
292049404,5,2015-7,United Kingdom,"Disney, honeymoon what more could you ask for?!?! Tip if you're on honeymoon grab a Just Married badge from Guest Services the cast members (and other guests) literally fall over themselves to be nice to you!",Disneyland_California
292040281,4,2015-7,Australia,As with Disneyland adventure park make sure to use the fast pass. We had a 3 day pass to both parks which coupled with fast pass enabled us to do pretty much every ride,Disneyland_California
292030948,5,2014-8,Australia,"omg I love this place and cant wait for the day I can come back again. the rides are amazing, hate lining up for them but you can get some fast passes. you feel like you are reliving your childhood and loved every minute I was there.",Disneyland_California
292023888,5,2015-7,United States,"We went for my daughters birthday and loved it. After visiting Disney World in FL, some may be disappointed but this park is great. As a a plus we were there during the 60th Aniversery celebration which made it extra special.",Disneyland_California
291976409,2,2015-7,United Kingdom,"We spent 3 weeks traveling the US on our honeymoon from the UK. Disneyland was a must as I proposed at Walt Disney World in Orlando last year. Firstly, the selfie stick ban was only explained to us when on the tram and at security bag check. I discussed my frustration with security, as I feel telling people once they've been dragged across the parking lots about it isn't very fair. We had no problem about it being banned, just that then expecting us to spend more time going back on the tram, all through the parking lots to return it, then queue AGAIN was unreasonable.She said we take it back or put it in a locker (I think she said it was $15). whatever the price was, we bought the stick for less so it wasn't worth it. I eventually said just the keep the thing as my wife was getting quite distressed. After then queuing to enter, we went to the guest services. We discussed what had happened and how unhappy we were, to which we were given a flyer about the ban (I said this is useless now, it should've been given to us at the gate) and told  it's all in the news about places banning them . I explained I'm not from the USA, selfie stick bans aren't all over the news in the UK. He said that security should have offered to leave it at lost and found and get it back later. After explaining she never offered this and now we've lost our selfie stick for no reason, he was able to retrieve it and send it to lost and found. By this point we'd wasted over an hour of our ONE DAY at the park.I bought up the amount of q jumping and saving space for friends at one of the rides to the staff, who said  I never saw it so I can't help . Everyone else could see it, the party in front of us grew from 2 to 11, and the party in front of them almost doubled, just before getting on the ride. I just don't find it fair and it was happening everywhere.Later on, the light parade was not far from starting, so we went to find a decent stop to watch. The cast members just usher you around the park. I asked on 3 occasions where to watch from, each person sent me to the next, they;d say i can't stand there then move me on! The 4th member said  people have been waiting for hours, maybe you should have done that . Didn't appreciate his rudeness at all. We were literally herded from near New Orleans square all the way to Main Street USA, which was almost a full circle around the park.",Disneyland_California
291936928,5,2015-7,United States,"Disneyland was much easier than Disneyworld because the scale is much more human sized, you can get places quickly and the vintage rides are beautiful and great for small kids  REALLY enjoyed this. Did not have a single bad meal or bad service anywhere in Disneyland. We will go back!",Disneyland_California
291922010,5,2015-6,United States,"It's just the best.  However, we went crowds were in the tens of thousands.  Paid hundreds of dollars to just get on three rides!",Disneyland_California
291921623,4,2015-7,Australia,"Disneyland was what we expected ... fun, clean, happy & busy!What we did find surprising was how quickly we could get on some of the rides between 8 and 9 in the morning. Also, learn how to use the FastPass system before you arrive as it will save a lot of heartache queuing for popular rides. Our son is almost 12 so we avoided the young kids rides but these appeared to be the busiest.",Disneyland_California
291918143,4,2015-7,United States,"Our little one was 3 on first visit and doesn't remember anything. She went 2nd time at 6 1 2 and thoroughly enjoyed it this time. Even with the long waits, she wanted to go on some rides again. Stay for the light show parade, it was really neat and she recognized all of the movie characters. Wish though that Disney would offer discounts for one day passes. The park was very crowded but very organized and clean. Was disappointed that Tom Sawyer island wasn't open due to the rain the night before.",Disneyland_California
291914100,5,2015-7,New Zealand,"As magical as it appears in the pictures. Such an adventure. So clean all the time. Staff and characters everywhere to offer photo ops and assistance. Absolute fun for all ages, we are truly so lucky to have had this experience. 3 days was not enough time.",Disneyland_California
291910094,5,2015-7,United States,"My family had a great time in disneyland park. I like security check point.  Lines were long but its to expect.. they had very good and kind employees.. park ,restroom all the time were clean. Variety  of restaurants..",Disneyland_California
291905905,4,2015-7,United States,"We dicited to spend a day in Disneyland to celebrate our daughters 11 birthday. The day was wonderful with parades, Micky Mouse and so on. The charming park keept the entertaining going until the spectacular fireworks at night. We truly enjoyed the day at the magical kingdom.",Disneyland_California
291890816,5,2015-7,United Arab Emirates,It feels weird writing a review for Disneyland but I wanted to highlight a really cool thing that happened with t g we FastPasses. We got a free surprise FastPass for a ride when we got FastPasses for another ride. It was really fun and surprising. ,Disneyland_California
291885890,4,2015-7,Papua New Guinea,"We did Disney   it was as expected, crowded, long lines. The evening show was very nice, and the fireworks ended the day on a great note.",Disneyland_California
291838496,5,2015-7,United States,Never a bad time in Disneyland.  Seems like the long lines have been re worked to move a little faster.  Fun for the entire family.,Disneyland_California
291790104,3,2015-7,United States,"(California Adventure) Those whom may be visiting from out of town, it is the same theme park as everywhere else. Long lines, short rides, high priced food and souvenirs. However, as an annual pass holder, it   s a great place to exercise. Lots of walking. We try to go at least three times a week, just to walk. Expensive Gym membership! Also, they serve beer. ",Disneyland_California
291776957,3,2015-7,United Arab Emirates,"I'm a big Disneyland fan, so it saddens me to say that I was underwhelmed by my experience in the park this year.  I have been going to Disneyland almost annually for many years.  Now that I have a family, we've been taking our 3...More",Disneyland_California
291740341,5,2014-9,United States,Always a quick visit whenever I am in Loa Angeles. Adult life is work work work. I get to let my inner child have a magical time.,Disneyland_California
291652129,4,2015-7,United Kingdom,"60 years and the place still manages to maintain the magic. If you had to describe Disney Land or for that matter the Magic Kingdom in Orlando, you would probably not rate the rides at very high level when comparing to other parks (Universal and Disney California). The atmosphere however ensures that this is a must on every visit. My kids have been to Florida and California several times and when we discuss the itinerary, they always want to start first at Disney Land (or the Florida equivalent Magic Kingdom). Do they get the most from the day? Probably not, but it is something you just have to do and it puts you in the right frame of mid for the rest of the holiday.",Disneyland_California
291634694,5,2015-6,United States,"Let's face it... no one likes long lines and big crowds. Especially with little ones. And not all rides are created equal. But... it's DISNEYLAND! So make the most of it, and enjoy the magic!Most important tip: GET FAST PASS TICKETS! They do NOT cost extra! You simply scan your entry ticket at the kiosk near the rides that offer a fast pass. Your Fast Pass will tell you what time to return to that ride, and then you'll enjoy a MUCH shorter  fast pass line!  Seriously... I think the most we waited in line was about 20 25 minutes. Most rides, we pretty much walked right on! As we'd pass by hundreds of people waiting in the regular line, I figured they just didn't know... Now, it's important to know that not ALL rides offer Fast Passes. You can download an app or look at the Disneyland brochure to help you plan ahead! (You can even get a fast pass for the Fantasmic night show; it will get you into the closest section near the water.)Also, Fast Passes are great if you have young children with you. For most rides, my husband and I would take turns going on it with the older kids, while the other parent was on double stroller duty. We would get Fast Passes for our littlest kids, too, but we'd just use those passes to take the older kids on the ride again. There ARE a few rules... like you can only have fast passes for one or two rides at a time (I'm not entirely sure of the details). After you use it, you can get more passes. You'll get the hang of it quickly, and it'll save hours of waiting in those long lines... which will make MORE time for selfies, parades, and churros! :)",Disneyland_California
291633557,5,2015-7,United States,We live in Arizona but have annual passes for Disneyland. We love making trips to California and going to the beach and going to Disneyland. It is great to have passes so you don't feel rushed trying to get everything done in a day or two. There is so much to see and do! Great fun for the family.,Disneyland_California
291624630,5,2014-8,Australia,Clearly a must do when visiting california whether you have kids or not. Shopping is a little overpriced. You would like to buy everything they have but really not affordable. Food options are good and beautiful events to watch. Need atleast two full days here!,Disneyland_California
291590928,5,2015-4,United States," What can I say? It's the happiest place on earth! We are currently annual pass holders along with our two children and make the drive as often as we can between work and school responsibilities to Anaheim. Just last week Disney celebrated its Diamond Jubilee and the celebration is lasting all summer long with limited time 60th anniversary food,decorations,merchandise and shows. The one good tip about Disneyland that most people ignore is to get to the park at opening. At that point you can go through the turnstile and get to the busiest rides with the longest lines and do those first. This works especially well in Fantasyland where all of the rides are very close together so you can go to Peter Pan's Flight first (because it always has a long line) and then do the others in rapid succession. Even when the park is busy and the lines are long there are so many things to do, places to eat, and photos to take that you honestly can't get bored. Try the Dole Whip outside the Enchanted Tiki Room if you want a cool treat on a hot day. It is delicious!",Disneyland_California
291559448,3,2015-7,United Arab Emirates,Packed packed packed !!!Long wait timesSeveral rides downBe prepared for 2 hour wait at least for parade!!Only places with no q's are the shops and restaurants !!I would recommend the Orlando park by farFireworks were good as was the night paradeUse the fast pass very carefully if you use it well it can work,Disneyland_California
